ID;DEPARTAMENTO;ACCESS POINT;ATA AUDIOCODES;EQUIPO CLIENTE;EQUIPO SERVIDOR;IMPRESORA LASER;MESA PARA TV O IMPRESORA;SKY EDGE WEB ENHANCE;SWITCH 8 PUERTOS;TELEFONO PUBLICO;"TELEVISOR 42""";Total general
50002;META;AP2479;AT2479;;ES3130;IM2479;ME3327;SE2479;SW2479;;TV2479;8
50003;BOLIVAR;AP2888;AT2276;;ES2186;IM2126;ME2971;SE2216;SW2387;TP3025;TV2385;9
50005;CAUCA;AP0507;AT0187;;ES0187;IM0187;ME1654;SE0187;SW0187;TP0187;TV0187;9
50009;VALLE DEL CAUCA;AP1182;AT1062;;ES1093;IM1112;ME3749;SE0886;SW0868;TP1183;TV1112;9
50010;CAUCA;AP0149;AT0149;;ES0149;IM0149;ME1746;SE0149;SW0149;TP0149;TV0149;9
50011;CAUCA;AP0558;AT3017;;ES3042;IM3366;ME1183;SE0235;SW2904;TP3312;TV2878;9
50013;CAUCA;AP0259;AT0259;;ES0259;IM0259;ME1441;SE0259;SW0259;TP4227;TV0259;9
50014;META;AP2475;AT2475;;ES2475;IM2494;ME3217;SE2475;SW2475;TP3282;TV2475;9
50015;SUCRE;AP1892;AT1892;;ES1892;IM1892;ME2791;SE1892;SW1892;TP4907;TV1892;9
50016;CORDOBA;AP1451;AT1308;;ES1353;IM1548;ME2110;SE1648;SW1348;TP1242;TV1348;9
50019;BOLIVAR;AP2399;AT2282;;ES2192;IM2132;ME2976;SE2222;SW2382;TP3616;TV2379;9
50022;BOLIVAR;AP2247;AT2357;;ES2399;IM2154;ME2982;SE2299;SW2260;TP2306;TV2295;9
50023;BOLIVAR;AP2384;AT2183;;ES2135;IM2327;ME3118;SE2247;SW2154;TP2345;TV2287;9
50024;BOLIVAR;AP2396;AT2285;;ES3071;IM2135;ME2983;SE2225;SW2385;TP5204;TV2377;9
50025;BOLIVAR;AP2397;AT2284;;ES2194;IM2134;ME2978;SE2224;SW2384;TP3090;TV2378;9
50026;BOLIVAR;AP2383;AT2181;;ES2134;IM2316;ME3116;SE2244;SW2152;;TV2284;8
50027;BOLIVAR;AP2377;AT2178;;ES2128;IM2228;ME3103;SE2238;SW2876;TP2901;TV2278;9
50028;BOLIVAR;AP2379;AT2296;;ES3121;IM2146;ME3120;SE2240;SW2148;TP2899;TV2280;9
50030;CAUCA;AP0796;AT0796;;ES0796;IM0796;ME1290;SE0635;SW0796;TP0796;TV0796;9
50031;CAUCA;AP0144;AT3018;;ES0144;IM0144;ME1370;SE0144;SW0144;TP0144;TV0144;9
50035;CAUCA;AP0146;AT0146;;ES0146;IM3360;ME1250;SE0146;;TP0514;TV0146;8
50036;CAUCA;AP0111;AT0111;;ES0111;;ME1351;SE0111;SW0111;;TV0111;7
50037;CAUCA;AP0009;AT0724;;ES0724;IM0009;ME1418;SE0724;SW0724;TP0641;TV0412;9
50038;CAUCA;AP0158;AT0158;;ES0158;IM3351;ME1205;SE0158;SW0158;;TV0158;8
50040;CORDOBA;AP1490;AT1369;;ES3086;IM1235;ME3774;SE1506;SW1438;TP1702;TV2942;9
50041;CORDOBA;AP1274;AT1244;;ES1374;IM3353;ME2271;SE1524;SW1224;TP1286;TV1394;9
